Digi-Key Part Number,Manufacturer Name,Manufacturer Part Number,Customer Reference,Quantity 1,
*,*,*,ARDUINO_NANO1/J1/J2/J3/JP1/JP2/JP3/JP4/JP5/JP6/TP1/TP2/TP3/TP4/TP7/TP11/TP12/TP13/TP14/U1,20,*** PART# '*' NOT FOUND : ARDUINO_NANO1/J1/J2/J3/JP1/JP2/JP3/JP4/JP5/JP6/TP1/TP2/TP3/TP4/TP7/TP11/TP12/TP13/TP14/U1
732-4985-1-ND,Wurth Electronics Inc.,150080SS75000,REF26,1,
732-8061-1-ND,Wurth Electronics Inc.,885012207072,REF78,1,
AZ1117CR-3.3TRG1DICT-ND,Diodes Incorporated,AZ1117CR-3.3TRG1,REF84,1,
AZ1117IH-5.0TRG1DICT-ND,Diodes Incorporated,AZ1117IH-5.0TRG1,REF85,1,
495-5574-1-ND,EPCOS (TDK),B78108T1103K000,REF81,1,
399-1125-1-ND,Kemet,C0805C151J5GACTU,REF75,1,
1276-1100-1-ND,Samsung Electro-Mechanics,CL21A226MQQNNNE,REF77,2,
1276-2563-1-ND,Samsung Electro-Mechanics,CL21C100DBANNNC,REF76,2,
587-6005-1-ND,Taiyo Yuden,EMK212ABJ106MG-T,REF65,1,
IRF3708PBF-ND,Infineon Technologies,IRF3708PBF,REF86,2,
587-3417-1-ND,Taiyo Yuden,LMK212AB7106MG-T,REF50,2,
445-6762-1-ND,TDK Corporation,MLZ2012N100LT000,REF80,1,
1276-5576-1-ND,Samsung Electro-Mechanics,RC2012J104CS,REF83,2,
RNCP0603FTD1K50CT-ND,Stackpole Electronics Inc.,RNCP0603FTD1K50,REF82,1,
296-8202-1-ND,Texas Instruments,SN74HC00NSR,REF79,1,
